               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.010712,           0.0063484,                   0,             0.90164,             0.92357,             0.95216,             0.81838,             0.01464,           0.0053337,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.011009,           0.0062815,                   0,              0.8907,             0.93631,             0.94993,             0.81726,            0.014571,           0.0052213,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.010944,           0.0060638,                   0,              0.9165,             0.90886,             0.95099,             0.82411,            0.014672,           0.0051991,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.011058,           0.0065593,                   0,             0.93937,             0.88821,             0.95352,             0.82821,            0.014682,           0.0052827,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.011265,           0.0069456,                   0,             0.91659,             0.90996,             0.94854,             0.81828,            0.014731,           0.0052438,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.010933,           0.0065544,                   0,             0.91489,              0.9172,             0.94703,             0.81875,            0.014523,           0.0052202,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.010724,           0.0062437,                   0,             0.91189,             0.92288,             0.94976,             0.81856,            0.014564,           0.0051796,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.010801,           0.0062539,                   0,             0.94552,             0.88432,             0.95052,             0.82111,            0.014651,            0.005197,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.010716,           0.0062578,                   0,             0.88581,             0.94268,             0.95115,             0.81766,            0.014715,           0.0052519,                   0,             0.00043,             0.00043,             0.00043
                 147,             0.01062,           0.0064532,                   0,              0.8888,             0.94268,             0.95321,             0.82036,            0.014605,           0.0052052,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.010939,            0.006508,                   0,             0.89078,              0.9351,             0.95181,             0.81714,            0.014553,           0.0051732,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.011424,           0.0062202,                   0,             0.88565,             0.93727,             0.95184,             0.81838,            0.014578,           0.0052542,                   0,            0.000232,            0.000232,            0.000232
